issue_id,table_name,issue_type,field_name,detected_date,resolved_date,days_to_resolve,severity,resolved_flag,source_system
DQ423899,quality_measures,Coding_Error,total_charges,2025-07-20,2025-07-21,1,Critical,1,Epic
DQ394407,lab_results,Format_Error,zip_code,2023-07-28,2023-07-30,2,Low,1,Clarity
DQ449523,encounters,Late_Submission,patient_id,2025-02-16,2025-02-16,0,Low,1,External_Feed
DQ874274,patient_surveys,Referential_Integrity,age,2025-03-10,2025-03-24,14,Low,1,Epic
DQ233694,patients,Late_Submission,encounter_date,2024-11-13,2024-12-10,27,High,1,Manual_Entry
DQ286709,patients,Coding_Error,total_charges,2024-08-28,2024-09-27,30,Medium,1,Clarity
DQ384701,lab_results,Format_Error,patient_id,2023-07-07,2023-07-20,13,High,1,Manual_Entry
DQ902906,patient_surveys,Format_Error,patient_id,2024-05-18,2024-06-09,22,High,1,Manual_Entry
DQ627746,patient_surveys,Coding_Error,icd10_code,2024-12-25,2024-12-25,0,Medium,1,Clarity
DQ579695,quality_measures,Duplicate_Record,icd10_code,2023-11-04,2023-11-16,12,Critical,1,Manual_Entry
DQ731104,encounters,Out_of_Range,patient_id,2025-12-09,2025-12-20,11,High,1,Clarity
DQ580969,patients,Format_Error,zip_code,2024-09-06,2024-10-02,26,Low,1,Manual_Entry
DQ551082,quality_measures,Referential_Integrity,encounter_date,2023-09-13,2023-09-29,16,Medium,1,Epic
DQ467406,patient_surveys,Missing_Value,zip_code,2025-04-06,2025-04-09,3,High,1,Clarity
DQ008493,lab_results,Late_Submission,zip_code,2024-01-29,2024-02-09,11,Medium,1,Clarity
DQ298519,quality_measures,Late_Submission,encounter_date,2023-08-08,2023-08-12,4,Critical,1,Manual_Entry
DQ854650,quality_measures,Coding_Error,encounter_date,2024-07-04,2024-07-12,8,Low,0,Manual_Entry
DQ040559,patient_surveys,Late_Submission,encounter_date,2025-04-03,2025-04-18,15,High,1,External_Feed
DQ284793,patient_surveys,Format_Error,age,2024-10-22,2024-10-25,3,Medium,1,Manual_Entry
DQ907161,patient_surveys,Format_Error,performance_rate,2025-05-01,2025-05-18,17,Low,1,Manual_Entry
DQ967723,quality_measures,Format_Error,age,2025-03-01,2025-03-08,7,Medium,1,Clarity
DQ007905,quality_measures,Coding_Error,encounter_date,2023-03-21,2023-04-15,25,Medium,1,Manual_Entry
DQ163769,patients,Format_Error,age,2023-08-21,2023-09-11,21,Medium,1,External_Feed
DQ391010,patient_surveys,Referential_Integrity,encounter_date,2024-09-21,2024-10-09,18,Low,1,Clarity
DQ650370,patients,Missing_Value,encounter_date,2025-07-21,2025-08-14,24,High,1,Clarity
DQ238316,patients,Duplicate_Record,zip_code,2025-05-18,2025-06-12,25,Critical,1,Clarity
DQ175778,lab_results,Late_Submission,total_charges,2023-05-02,2023-05-18,16,Low,1,Manual_Entry
DQ719597,lab_results,Format_Error,age,2024-06-14,2024-07-04,20,Medium,1,Clarity
DQ477795,patient_surveys,Format_Error,encounter_date,2023-11-05,2023-11-30,25,Critical,1,Clarity
DQ185791,patient_surveys,Format_Error,zip_code,2024-08-15,2024-09-01,17,Critical,0,Manual_Entry
DQ663562,lab_results,Format_Error,age,2023-02-13,2023-02-21,8,High,1,Manual_Entry
DQ305041,patient_surveys,Coding_Error,encounter_date,2025-07-28,2025-07-31,3,High,0,Clarity
DQ471071,quality_measures,Format_Error,age,2023-01-22,2023-02-10,19,Low,1,External_Feed
DQ083613,patient_surveys,Referential_Integrity,performance_rate,2024-02-24,2024-03-24,29,Critical,1,Clarity
DQ209098,lab_results,Duplicate_Record,icd10_code,2024-11-10,2024-11-23,13,Medium,1,Epic
DQ540818,patient_surveys,Late_Submission,icd10_code,2024-03-28,2024-04-27,30,Low,1,Epic
DQ412094,patients,Referential_Integrity,performance_rate,2025-03-23,2025-04-03,11,Low,1,Manual_Entry
DQ314153,lab_results,Coding_Error,patient_id,2023-09-06,2023-09-06,0,Medium,1,Epic
DQ406703,patient_surveys,Format_Error,zip_code,2024-01-18,2024-02-13,26,Low,1,Clarity
DQ740800,quality_measures,Duplicate_Record,total_charges,2025-10-17,2025-10-28,11,Medium,1,Epic
DQ420059,encounters,Out_of_Range,zip_code,2024-04-05,2024-05-03,28,Critical,1,Manual_Entry
DQ936779,encounters,Duplicate_Record,age,2024-06-25,2024-07-17,22,High,1,Epic
DQ611966,patient_surveys,Late_Submission,age,2024-10-17,2024-10-17,0,Low,1,Epic
DQ660112,quality_measures,Missing_Value,encounter_date,2023-10-18,2023-10-30,12,Low,1,Clarity
DQ572942,patients,Late_Submission,zip_code,2024-03-02,2024-03-03,1,Low,1,External_Feed
DQ568655,patients,Duplicate_Record,zip_code,2025-10-24,2025-11-15,22,Critical,0,External_Feed
DQ152362,encounters,Referential_Integrity,encounter_date,2024-10-08,2024-10-28,20,Critical,1,External_Feed
DQ736233,patient_surveys,Missing_Value,encounter_date,2023-11-17,2023-12-08,21,Critical,1,Epic
DQ918661,lab_results,Coding_Error,age,2023-06-14,2023-06-27,13,Critical,1,Clarity
DQ057770,encounters,Coding_Error,encounter_date,2025-04-10,2025-05-05,25,Medium,1,External_Feed
DQ145666,patients,Late_Submission,total_charges,2024-08-16,2024-08-29,13,Medium,1,External_Feed
DQ296624,patients,Missing_Value,total_charges,2023-05-21,2023-06-11,21,Low,1,Epic
DQ016655,patient_surveys,Format_Error,total_charges,2024-02-12,2024-02-29,17,Low,1,Epic
DQ129980,patients,Missing_Value,age,2025-05-15,2025-05-30,15,Critical,1,Epic
DQ209255,lab_results,Coding_Error,age,2025-01-20,2025-01-29,9,Medium,1,Manual_Entry
DQ890427,patients,Duplicate_Record,age,2024-08-18,2024-09-14,27,Medium,1,External_Feed
DQ858061,lab_results,Out_of_Range,zip_code,2023-03-14,2023-04-12,29,Critical,1,External_Feed
DQ409841,quality_measures,Out_of_Range,icd10_code,2024-02-03,2024-02-11,8,High,1,Clarity
DQ093297,quality_measures,Missing_Value,icd10_code,2024-07-27,2024-08-22,26,Critical,1,Manual_Entry
DQ608839,encounters,Referential_Integrity,age,2024-02-02,2024-02-18,16,Critical,1,Manual_Entry
DQ783171,encounters,Coding_Error,icd10_code,2025-03-10,2025-03-20,10,Critical,1,Epic
DQ648511,quality_measures,Coding_Error,icd10_code,2024-01-26,2024-02-19,24,Medium,1,Clarity
DQ095842,patient_surveys,Duplicate_Record,patient_id,2023-11-05,2023-11-10,5,Medium,1,External_Feed
DQ561206,patient_surveys,Late_Submission,performance_rate,2023-01-22,2023-02-10,19,Medium,1,External_Feed
DQ323117,lab_results,Late_Submission,icd10_code,2024-02-09,2024-02-15,6,Low,1,Epic
DQ536173,encounters,Late_Submission,icd10_code,2023-04-15,2023-04-23,8,Low,1,Manual_Entry
DQ959192,lab_results,Duplicate_Record,total_charges,2025-01-26,2025-02-18,23,High,1,Manual_Entry
DQ927578,patients,Duplicate_Record,performance_rate,2025-08-04,2025-09-01,28,Low,0,Epic
DQ863314,encounters,Missing_Value,zip_code,2024-10-23,2024-11-09,17,Medium,1,Epic
DQ139236,patients,Missing_Value,age,2025-04-14,2025-05-04,20,Medium,1,Manual_Entry
DQ167504,lab_results,Missing_Value,encounter_date,2025-09-02,2025-09-09,7,High,0,External_Feed
DQ602059,lab_results,Late_Submission,total_charges,2023-11-11,2023-12-09,28,Low,1,Manual_Entry
DQ061328,encounters,Duplicate_Record,performance_rate,2025-12-01,2025-12-14,13,Low,1,External_Feed
DQ843686,quality_measures,Duplicate_Record,zip_code,2023-01-21,2023-02-09,19,Low,1,External_Feed
DQ285223,lab_results,Coding_Error,performance_rate,2024-06-11,2024-07-09,28,High,1,Epic
DQ612553,lab_results,Missing_Value,zip_code,2025-04-22,2025-04-30,8,Medium,1,Manual_Entry
DQ190813,lab_results,Referential_Integrity,icd10_code,2025-09-04,2025-09-25,21,High,1,Epic
DQ079014,lab_results,Missing_Value,total_charges,2025-04-13,2025-05-10,27,Medium,1,External_Feed
DQ699060,patient_surveys,Late_Submission,zip_code,2024-07-26,2024-08-13,18,High,1,Manual_Entry
DQ280488,patient_surveys,Out_of_Range,zip_code,2023-01-20,2023-02-01,12,Critical,1,Manual_Entry
DQ251682,quality_measures,Format_Error,icd10_code,2025-08-26,2025-09-11,16,High,1,Clarity
DQ097675,patients,Out_of_Range,encounter_date,2025-11-21,2025-12-06,15,High,1,Manual_Entry
DQ675880,patients,Duplicate_Record,patient_id,2023-04-09,2023-05-08,29,High,1,Manual_Entry
DQ340725,patients,Coding_Error,total_charges,2025-02-09,2025-02-12,3,Critical,1,Epic
DQ586669,lab_results,Format_Error,encounter_date,2023-11-28,2023-12-25,27,High,1,Clarity
DQ516890,encounters,Referential_Integrity,icd10_code,2024-10-24,2024-10-27,3,Critical,1,External_Feed
DQ900848,patients,Out_of_Range,age,2023-12-19,2023-12-23,4,Critical,1,Epic
DQ896063,quality_measures,Out_of_Range,icd10_code,2025-04-14,2025-05-13,29,High,1,Clarity
DQ431838,quality_measures,Referential_Integrity,patient_id,2023-03-07,2023-04-05,29,High,1,External_Feed
DQ288001,patient_surveys,Duplicate_Record,performance_rate,2025-05-16,2025-05-26,10,Critical,1,External_Feed
DQ837513,encounters,Duplicate_Record,zip_code,2025-11-09,2025-11-30,21,Medium,1,Manual_Entry
DQ917616,lab_results,Duplicate_Record,icd10_code,2023-03-09,2023-04-05,27,Medium,1,External_Feed
DQ337270,encounters,Format_Error,total_charges,2024-02-02,2024-03-03,30,Medium,1,External_Feed
DQ801209,lab_results,Referential_Integrity,zip_code,2025-03-08,2025-03-18,10,High,1,Manual_Entry
DQ581186,patient_surveys,Coding_Error,zip_code,2025-05-26,2025-06-05,10,Medium,1,Epic
DQ620152,quality_measures,Missing_Value,encounter_date,2025-12-15,2026-01-06,22,Critical,1,Clarity
DQ957270,quality_measures,Late_Submission,zip_code,2025-06-26,2025-07-20,24,Critical,1,External_Feed
DQ434278,encounters,Late_Submission,zip_code,2023-09-11,2023-09-21,10,Medium,1,Clarity
DQ270097,patients,Referential_Integrity,total_charges,2024-07-22,2024-08-05,14,Low,1,Clarity
DQ279350,patient_surveys,Out_of_Range,total_charges,2023-01-02,2023-01-07,5,Medium,1,External_Feed
DQ182990,patients,Format_Error,patient_id,2025-07-20,2025-07-22,2,High,0,Manual_Entry
DQ785869,quality_measures,Format_Error,zip_code,2023-01-28,2023-01-29,1,High,0,Clarity
DQ088905,lab_results,Late_Submission,age,2025-10-25,2025-10-31,6,Critical,1,Manual_Entry
DQ924160,encounters,Duplicate_Record,zip_code,2024-04-21,2024-05-08,17,Medium,1,Epic
DQ850622,quality_measures,Referential_Integrity,age,2023-08-17,2023-08-24,7,Critical,1,Manual_Entry
DQ260995,patient_surveys,Coding_Error,patient_id,2024-07-31,2024-08-18,18,Medium,1,Epic
DQ915017,patient_surveys,Late_Submission,zip_code,2025-07-13,2025-08-11,29,Medium,1,External_Feed
DQ782249,quality_measures,Out_of_Range,encounter_date,2023-06-01,2023-06-17,16,Medium,1,Epic
DQ864263,encounters,Duplicate_Record,age,2023-03-23,2023-04-17,25,Critical,1,External_Feed
DQ681336,patients,Referential_Integrity,encounter_date,2025-12-28,2026-01-27,30,Critical,0,Epic
DQ556755,patients,Referential_Integrity,zip_code,2025-01-17,2025-02-16,30,High,1,Epic
DQ864624,patient_surveys,Duplicate_Record,age,2024-11-24,2024-12-17,23,Low,1,Clarity
DQ214041,encounters,Late_Submission,total_charges,2025-06-12,2025-06-12,0,Medium,1,Manual_Entry
DQ806302,patient_surveys,Late_Submission,icd10_code,2025-12-27,2026-01-21,25,High,1,Clarity
DQ952863,quality_measures,Referential_Integrity,patient_id,2024-07-09,2024-07-27,18,Medium,1,External_Feed
DQ633347,quality_measures,Duplicate_Record,patient_id,2025-03-30,2025-04-23,24,Low,0,Epic
DQ769108,patient_surveys,Referential_Integrity,encounter_date,2024-10-22,2024-11-04,13,Critical,1,Clarity
DQ119253,encounters,Missing_Value,patient_id,2023-06-11,2023-07-10,29,High,1,Epic
DQ577199,patient_surveys,Format_Error,icd10_code,2024-10-24,2024-10-31,7,Critical,1,Epic
DQ643930,lab_results,Missing_Value,age,2023-02-12,2023-02-15,3,Low,1,External_Feed
DQ480906,quality_measures,Format_Error,age,2024-10-14,2024-10-14,0,Low,1,External_Feed
DQ907034,lab_results,Coding_Error,performance_rate,2024-06-12,2024-07-04,22,Medium,1,External_Feed
DQ785887,lab_results,Coding_Error,encounter_date,2025-07-27,2025-08-26,30,Low,1,Epic
DQ166974,quality_measures,Format_Error,zip_code,2024-03-15,2024-03-31,16,Critical,0,External_Feed
DQ641451,lab_results,Late_Submission,patient_id,2025-02-06,2025-02-27,21,High,1,Manual_Entry
DQ684806,patient_surveys,Out_of_Range,total_charges,2024-06-19,2024-07-17,28,High,1,Clarity
DQ967351,lab_results,Coding_Error,icd10_code,2023-02-09,2023-03-02,21,Critical,1,Manual_Entry
DQ174518,quality_measures,Duplicate_Record,zip_code,2024-04-26,2024-05-15,19,Medium,1,External_Feed
DQ514565,lab_results,Out_of_Range,age,2025-08-16,2025-09-12,27,High,1,Manual_Entry
DQ639196,patient_surveys,Format_Error,performance_rate,2024-11-24,2024-12-14,20,Medium,1,External_Feed
DQ354809,encounters,Missing_Value,performance_rate,2024-07-11,2024-07-16,5,Low,1,Epic
DQ145781,lab_results,Duplicate_Record,total_charges,2024-01-12,2024-01-21,9,Low,1,Clarity
DQ282458,quality_measures,Missing_Value,icd10_code,2023-01-09,2023-01-28,19,Critical,1,Epic
DQ403490,encounters,Format_Error,total_charges,2025-08-16,2025-08-22,6,Medium,1,External_Feed
DQ062174,quality_measures,Missing_Value,encounter_date,2024-11-06,2024-11-21,15,Low,1,Manual_Entry
DQ453754,encounters,Format_Error,age,2023-05-02,2023-05-27,25,Critical,1,External_Feed
DQ835435,patients,Missing_Value,total_charges,2023-05-01,2023-05-28,27,Critical,1,External_Feed
DQ089612,encounters,Out_of_Range,age,2025-03-10,2025-03-21,11,Low,1,Clarity
DQ665131,encounters,Duplicate_Record,patient_id,2024-09-29,2024-10-23,24,Medium,1,External_Feed
DQ537578,quality_measures,Duplicate_Record,performance_rate,2023-07-10,2023-07-18,8,Low,1,External_Feed
DQ072562,encounters,Missing_Value,icd10_code,2023-10-07,2023-10-31,24,Low,1,Clarity
DQ183087,quality_measures,Late_Submission,icd10_code,2024-05-10,2024-05-10,0,Critical,1,Clarity
DQ486182,encounters,Late_Submission,age,2024-11-03,2024-11-13,10,Low,1,External_Feed
DQ773008,quality_measures,Missing_Value,patient_id,2024-09-10,2024-10-05,25,Critical,0,External_Feed
DQ823827,lab_results,Missing_Value,icd10_code,2024-06-22,2024-07-12,20,Critical,1,Manual_Entry
DQ575569,lab_results,Missing_Value,patient_id,2025-06-11,2025-07-07,26,Low,1,External_Feed
DQ519370,encounters,Duplicate_Record,zip_code,2023-12-24,2023-12-28,4,Critical,1,Clarity
DQ237190,patient_surveys,Missing_Value,patient_id,2024-06-05,2024-06-19,14,High,1,Manual_Entry
DQ691905,lab_results,Duplicate_Record,performance_rate,2023-06-23,2023-07-14,21,High,1,External_Feed
DQ246041,patient_surveys,Coding_Error,performance_rate,2023-12-20,2023-12-22,2,Medium,1,External_Feed
DQ279540,quality_measures,Late_Submission,total_charges,2023-04-16,2023-04-30,14,Low,1,Clarity
DQ170309,patients,Format_Error,encounter_date,2025-02-19,2025-03-03,12,Medium,1,Manual_Entry
DQ276833,patients,Late_Submission,icd10_code,2025-04-11,2025-04-18,7,Critical,1,Manual_Entry
DQ747578,patient_surveys,Format_Error,performance_rate,2023-08-04,2023-08-19,15,Medium,0,Clarity
DQ443618,patient_surveys,Duplicate_Record,total_charges,2024-02-10,2024-02-11,1,Low,1,Manual_Entry
DQ493587,patient_surveys,Duplicate_Record,icd10_code,2023-01-16,2023-02-15,30,Critical,1,Manual_Entry
DQ760937,quality_measures,Referential_Integrity,icd10_code,2023-01-05,2023-01-22,17,High,1,Manual_Entry
DQ706092,patient_surveys,Out_of_Range,encounter_date,2023-06-16,2023-06-29,13,Low,1,Manual_Entry
DQ890104,lab_results,Duplicate_Record,performance_rate,2024-09-29,2024-10-06,7,High,0,Manual_Entry
DQ937670,lab_results,Coding_Error,age,2023-12-20,2024-01-12,23,Critical,0,Manual_Entry
DQ558594,encounters,Coding_Error,performance_rate,2024-05-02,2024-05-30,28,Low,1,Clarity
DQ362665,quality_measures,Late_Submission,total_charges,2025-08-13,2025-08-31,18,High,1,External_Feed
DQ398443,lab_results,Duplicate_Record,performance_rate,2023-05-26,2023-06-10,15,Low,1,Manual_Entry
DQ504218,lab_results,Missing_Value,patient_id,2025-11-03,2025-12-01,28,Medium,1,Epic
DQ201491,patient_surveys,Duplicate_Record,total_charges,2025-12-26,2026-01-16,21,Low,1,Clarity
DQ306601,lab_results,Out_of_Range,icd10_code,2025-11-05,2025-11-06,1,Medium,1,Clarity
DQ424618,lab_results,Coding_Error,age,2024-12-21,2025-01-05,15,Medium,1,External_Feed
DQ698074,quality_measures,Referential_Integrity,zip_code,2024-07-09,2024-07-27,18,Critical,1,Epic
DQ844047,lab_results,Referential_Integrity,total_charges,2024-04-18,2024-05-12,24,High,1,External_Feed
DQ774826,encounters,Late_Submission,patient_id,2025-04-16,2025-05-04,18,Critical,0,Clarity
DQ267092,encounters,Late_Submission,zip_code,2024-06-01,2024-06-15,14,Critical,1,Clarity
DQ106835,patients,Out_of_Range,encounter_date,2023-03-16,2023-04-10,25,Critical,1,Epic
DQ867310,patients,Duplicate_Record,performance_rate,2023-02-23,2023-02-25,2,High,1,External_Feed
DQ432441,patient_surveys,Format_Error,zip_code,2023-11-18,2023-12-04,16,Low,1,Manual_Entry
DQ117003,encounters,Referential_Integrity,total_charges,2024-09-08,2024-09-27,19,High,1,External_Feed
DQ228404,lab_results,Out_of_Range,encounter_date,2025-08-21,2025-09-20,30,Medium,1,Epic
DQ940198,patient_surveys,Format_Error,encounter_date,2024-03-28,2024-04-25,28,Medium,1,External_Feed
DQ204471,lab_results,Coding_Error,encounter_date,2024-03-25,2024-03-25,0,High,1,Epic
DQ509636,encounters,Late_Submission,icd10_code,2025-08-15,2025-08-21,6,Medium,0,Manual_Entry
DQ876738,quality_measures,Missing_Value,total_charges,2024-01-06,2024-01-28,22,Medium,1,Manual_Entry
DQ117078,quality_measures,Referential_Integrity,zip_code,2024-10-14,2024-11-12,29,Low,1,External_Feed
DQ689986,quality_measures,Out_of_Range,age,2023-10-31,2023-11-30,30,Medium,1,Manual_Entry
DQ131175,encounters,Out_of_Range,performance_rate,2025-10-30,2025-11-12,13,Medium,1,Epic
DQ369603,encounters,Out_of_Range,total_charges,2025-11-30,2025-12-26,26,Low,1,Manual_Entry
DQ593149,patient_surveys,Out_of_Range,total_charges,2023-02-14,2023-02-15,1,High,1,Clarity
DQ471024,patients,Duplicate_Record,total_charges,2024-07-05,2024-07-08,3,Critical,1,Clarity
DQ387331,patients,Coding_Error,encounter_date,2023-09-14,2023-10-08,24,High,0,Manual_Entry
DQ265803,patient_surveys,Late_Submission,icd10_code,2025-06-03,2025-06-28,25,Critical,1,External_Feed
DQ220825,lab_results,Format_Error,total_charges,2025-10-11,2025-10-29,18,Medium,1,Manual_Entry
DQ037635,patient_surveys,Missing_Value,zip_code,2023-03-23,2023-04-07,15,Medium,1,External_Feed
DQ996197,encounters,Format_Error,total_charges,2024-09-24,2024-10-21,27,Medium,0,Epic
DQ214795,patient_surveys,Duplicate_Record,encounter_date,2025-10-30,2025-11-04,5,High,1,External_Feed
DQ477684,quality_measures,Duplicate_Record,icd10_code,2025-06-17,2025-07-10,23,Medium,1,External_Feed
DQ304429,encounters,Referential_Integrity,patient_id,2024-01-22,2024-02-09,18,Low,1,External_Feed
DQ810760,lab_results,Referential_Integrity,age,2025-06-09,2025-07-08,29,Low,1,Epic
DQ001731,patients,Coding_Error,age,2023-09-23,2023-10-05,12,High,1,Clarity
DQ641201,patients,Format_Error,patient_id,2024-09-22,2024-10-22,30,Medium,1,Epic
DQ462588,encounters,Duplicate_Record,patient_id,2024-06-05,2024-06-30,25,Low,1,External_Feed
DQ524258,patients,Format_Error,patient_id,2025-05-23,2025-05-27,4,Low,1,Clarity
DQ143851,lab_results,Out_of_Range,zip_code,2023-09-05,2023-10-05,30,Critical,1,Epic
DQ760884,encounters,Missing_Value,total_charges,2025-05-09,2025-05-16,7,High,1,Epic
DQ720980,patients,Out_of_Range,patient_id,2024-11-18,2024-12-14,26,Medium,1,Manual_Entry
DQ983190,patient_surveys,Out_of_Range,performance_rate,2025-07-31,2025-08-28,28,High,1,External_Feed
DQ934088,lab_results,Referential_Integrity,zip_code,2023-06-27,2023-07-07,10,Critical,1,Clarity
DQ178480,lab_results,Referential_Integrity,age,2024-09-19,2024-09-19,0,Medium,1,Clarity
DQ754638,encounters,Late_Submission,age,2023-03-29,2023-04-23,25,Medium,1,Clarity
DQ791585,encounters,Missing_Value,encounter_date,2025-10-08,2025-10-14,6,Critical,1,Manual_Entry
DQ404198,quality_measures,Out_of_Range,performance_rate,2024-03-26,2024-03-26,0,Medium,1,Epic
DQ350533,patients,Duplicate_Record,total_charges,2023-11-12,2023-12-06,24,Critical,0,Manual_Entry
DQ999791,encounters,Coding_Error,patient_id,2025-12-21,2026-01-10,20,Critical,1,Manual_Entry
DQ588681,encounters,Format_Error,zip_code,2024-03-21,2024-04-20,30,Low,1,External_Feed
DQ723100,patient_surveys,Missing_Value,icd10_code,2025-04-21,2025-04-29,8,Low,1,Manual_Entry
DQ930238,patient_surveys,Missing_Value,performance_rate,2025-03-03,2025-03-25,22,Critical,1,Clarity
DQ679913,patients,Missing_Value,patient_id,2024-10-07,2024-10-15,8,Low,1,Manual_Entry
DQ287928,encounters,Late_Submission,age,2023-10-11,2023-11-02,22,Critical,1,External_Feed
DQ273080,patient_surveys,Referential_Integrity,performance_rate,2024-12-23,2025-01-14,22,High,1,Epic
DQ990744,quality_measures,Referential_Integrity,encounter_date,2025-04-10,2025-04-14,4,Low,1,Epic
DQ971941,quality_measures,Format_Error,age,2025-07-01,2025-07-24,23,Low,1,Epic
DQ389678,quality_measures,Duplicate_Record,encounter_date,2024-01-15,2024-01-28,13,Low,1,Epic
DQ999727,patient_surveys,Format_Error,encounter_date,2023-08-29,2023-09-06,8,Critical,1,External_Feed
DQ965069,patients,Out_of_Range,age,2025-12-15,2026-01-01,17,High,1,External_Feed
DQ397837,patients,Missing_Value,zip_code,2023-06-07,2023-07-03,26,Critical,1,Epic
DQ634153,quality_measures,Format_Error,icd10_code,2024-07-27,2024-08-10,14,Critical,0,Epic
DQ075234,patients,Format_Error,patient_id,2025-07-07,2025-07-26,19,High,1,External_Feed
DQ623804,patients,Referential_Integrity,age,2025-01-05,2025-01-24,19,Low,1,External_Feed
DQ860464,encounters,Referential_Integrity,age,2025-03-24,2025-04-19,26,Low,1,Clarity
DQ632955,patient_surveys,Late_Submission,encounter_date,2024-11-02,2024-11-02,0,Low,1,External_Feed
DQ334224,quality_measures,Duplicate_Record,performance_rate,2025-01-17,2025-02-08,22,Medium,1,External_Feed
DQ743151,quality_measures,Format_Error,total_charges,2023-09-30,2023-10-20,20,Medium,1,Clarity
DQ334652,encounters,Duplicate_Record,zip_code,2023-01-08,2023-02-04,27,Medium,1,External_Feed
